municipality,state,year,lat,lon,altitude,ndvi_vigor,ndwi_moisture,lst_temp,root_zone_wetness,evapotranspiration,clay_content2,annual_rainfall,extreme_event,disease_score,orange_price_real,fcoj_price_ny_lag1,urea_price_lag1,phosphate_price_lag1,kcl_price_lag1,harvested_area_ha,production_ton,yield_t_ha,economic_efficiency,
Frutal,MG,1985,-20.035218,-48.999708,513.89,0.0000,0.0000,0.0000,0.00000,0.0000,28.6589,1485.0628,1,0,0.67,170.59,248.96,54.82,139.47,5600,23878.40,4.26,1.87,
Avare,SP,1985,-23.073834,-48.894245,703.21,0.1326,0.0105,25.2427,0.00000,0.0000,43.3155,1237.7984,1,0,0.67,170.59,248.96,54.82,139.47,49,800.00,16.33,7.17,
Bebedouro,SP,1985,-20.939926,-48.510172,573.15,0.0000,0.0000,0.0000,0.00000,0.0000,29.2673,1317.6916,1,0,0.67,170.59,248.96,54.82,139.47,35796,554000.00,15.48,6.80,
Casa Branca,SP,1985,-21.799796,-47.087518,655.48,0.1110,-0.0017,26.4892,0.00000,0.0000,35.1306,1286.6799,1,0,0.67,170.59,248.96,54.82,139.47,7353,120000.00,16.32,7.17,
Itapetininga,SP,1985,-23.644648,-48.122936,668.28,0.1050,-0.0076,24.3695,0.00000,0.0000,36.2056,1042.5391,1,0,0.67,170.59,248.96,54.82,139.47,612,11260.80,18.40,8.08,
Matao,SP,1985,-21.609602,-48.430162,582.56,0.0873,-0.0082,27.2129,0.00000,0.0000,29.4754,1300.8652,1,0,0.67,170.59,248.96,54.82,139.47,10126,135060.00,13.34,5.86,
Santa Cruz Do Rio Pardo,SP,1985,-22.808644,-49.568133,542.29,0.1291,0.0131,24.2342,0.00000,0.0000,35.9800,1182.9393,1,0,0.67,170.59,248.96,54.82,139.47,30,480.00,16.00,7.03,
Votuporanga,SP,1985,-20.457345,-49.988931,466.76,0.0000,0.0000,0.0000,0.00000,0.0000,22.3793,1312.7869,1,0,0.67,170.59,248.96,54.82,139.47,1263,18237.60,14.44,6.34,
Frutal,MG,1986,-20.035218,-48.999708,513.89,0.0835,-0.0313,29.7940,0.00000,0.0000,28.6589,1332.8672,0,0,0.57,139.38,187.02,60.31,139.41,5600,22400.00,4.00,1.71,
Avare,SP,1986,-23.073834,-48.894245,703.21,0.1458,0.0438,23.7189,0.00000,0.0000,43.3155,1631.2611,0,0,0.57,139.38,187.02,60.31,139.41,49,800.00,16.33,6.97,
Bebedouro,SP,1986,-20.939926,-48.510172,573.15,0.1248,-0.0063,30.1944,0.00000,0.0000,29.2673,1470.7005,0,0,0.57,139.38,187.02,60.31,139.41,36258,548218.08,15.12,6.46,
Casa Branca,SP,1986,-21.799796,-47.087518,655.48,0.1153,0.0145,27.2259,0.00000,0.0000,35.1306,1597.3420,0,0,0.57,139.38,187.02,60.31,139.41,10000,144000.00,14.40,6.15,
Itapetininga,SP,1986,-23.644648,-48.122936,668.28,0.1264,0.0267,19.6192,0.00000,0.0000,36.2056,1465.9124,0,0,0.57,139.38,187.02,60.31,139.41,714,13600.00,19.05,8.13,
Matao,SP,1986,-21.609602,-48.430162,582.56,0.1585,0.0348,29.4690,0.00000,0.0000,29.4754,1408.0924,0,0,0.57,139.38,187.02,60.31,139.41,9379,90040.00,9.60,4.10,
Santa Cruz Do Rio Pardo,SP,1986,-22.808644,-49.568133,542.29,0.1219,0.0200,29.3392,0.00000,0.0000,35.9800,1482.7709,0,0,0.57,139.38,187.02,60.31,139.41,25,480.00,19.20,8.20,
Votuporanga,SP,1986,-20.457345,-49.988931,466.76,0.1603,0.0532,25.7770,0.00000,0.0000,22.3793,1268.3205,0,0,0.57,139.38,187.02,60.31,139.41,909,14398.56,15.84,6.76,
Frutal,MG,1987,-20.035218,-48.999708,513.89,0.1127,0.0533,22.8013,0.00000,0.0000,28.6589,1434.4035,0,0,0.61,102.46,103.06,52.44,106.27,5600,22400.00,4.00,1.96,
Avare,SP,1987,-23.073834,-48.894245,703.21,0.1732,0.0731,21.6096,0.00000,0.0000,43.3155,1563.3818,0,0,0.61,102.46,103.06,52.44,106.27,49,800.00,16.33,7.99,
Bebedouro,SP,1987,-20.939926,-48.510172,573.15,0.1371,0.0310,26.3715,0.00000,0.0000,29.2673,1338.2945,0,0,0.61,102.46,103.06,52.44,106.27,37268,554600.00,14.88,7.28,
Casa Branca,SP,1987,-21.799796,-47.087518,655.48,0.1334,0.0466,26.1297,0.00000,0.0000,35.1306,1499.7195,0,0,0.61,102.46,103.06,52.44,106.27,10000,144000.00,14.40,7.05,
Itapetininga,SP,1987,-23.644648,-48.122936,668.28,0.1302,0.0524,17.7036,0.00000,0.0000,36.2056,1441.0866,0,0,0.61,102.46,103.06,52.44,106.27,708,13600.00,19.21,9.40,
Matao,SP,1987,-21.609602,-48.430162,582.56,0.1705,0.0541,27.7586,0.00000,0.0000,29.4754,1337.1747,0,0,0.61,102.46,103.06,52.44,106.27,11255,135060.00,12.00,5.87,
Santa Cruz Do Rio Pardo,SP,1987,-22.808644,-49.568133,542.29,0.1847,0.0649,23.5079,0.00000,0.0000,35.9800,1408.9479,0,0,0.61,102.46,103.06,52.44,106.27,25,480.00,19.20,9.40,
Votuporanga,SP,1987,-20.457345,-49.988931,466.76,0.1129,-0.0711,32.5225,0.00000,0.0000,22.3793,1283.6493,0,0,0.61,102.46,103.06,52.44,106.27,929,14715.36,15.84,7.75,
Frutal,MG,1988,-20.035218,-48.999708,513.89,0.0831,-0.0327,30.2255,0.00000,0.0000,28.6589,1330.9945,0,0,0.57,136.64,109.66,45.39,89.45,5600,22570.24,4.03,2.77,
Avare,SP,1988,-23.073834,-48.894245,703.21,0.1256,0.0370,21.0915,0.00000,0.0000,43.3155,1267.6495,0,0,0.57,136.64,109.66,45.39,89.45,49,800.00,16.33,11.20,
Bebedouro,SP,1988,-20.939926,-48.510172,573.15,0.1502,0.0322,27.5091,0.00000,0.0000,29.2673,1321.7570,0,0,0.57,136.64,109.66,45.39,89.45,36739,544000.00,14.81,10.16,
Casa Branca,SP,1988,-21.799796,-47.087518,655.48,0.1269,0.0102,26.8634,0.00000,0.0000,35.1306,1553.6565,0,0,0.57,136.64,109.66,45.39,89.45,9957,255815.84,25.69,17.63,
Itapetininga,SP,1988,-23.644648,-48.122936,668.28,0.1361,0.0206,22.1391,0.00000,0.0000,36.2056,1437.5248,0,0,0.57,136.64,109.66,45.39,89.45,708,13600.00,19.21,13.18,
Matao,SP,1988,-21.609602,-48.430162,582.56,0.1596,0.0302,26.0235,0.00000,0.0000,29.4754,1240.6483,0,0,0.57,136.64,109.66,45.39,89.45,11255,135060.00,12.00,8.24,
Santa Cruz Do Rio Pardo,SP,1988,-22.808644,-49.568133,542.29,0.1137,0.0423,18.0453,0.00000,0.0000,35.9800,1206.1822,0,0,0.57,136.64,109.66,45.39,89.45,25,480.00,19.20,13.18,
Votuporanga,SP,1988,-20.457345,-49.988931,466.76,0.1051,-0.0513,31.7096,0.00000,0.0000,22.3793,1206.6996,0,0,0.57,136.64,109.66,45.39,89.45,892,14000.00,15.70,10.77,
Frutal,MG,1989,-20.035218,-48.999708,513.89,0.0720,0.0455,16.7736,0.00000,0.0000,28.6589,1493.2379,0,0,0.56,174.95,141.73,39.44,108.39,6450,25800.00,4.00,2.80,
Avare,SP,1989,-23.073834,-48.894245,703.21,0.1376,0.0492,16.4037,0.00000,0.0000,43.3155,1492.9284,0,0,0.56,174.95,141.73,39.44,108.39,49,800.00,16.33,11.42,
Bebedouro,SP,1989,-20.939926,-48.510172,573.15,0.1458,0.0430,17.4710,0.00000,0.0000,29.2673,1361.8102,0,0,0.56,174.95,141.73,39.44,108.39,49814,761200.00,15.28,10.69,
Casa Branca,SP,1989,-21.799796,-47.087518,655.48,0.1419,0.0171,26.1423,0.00000,0.0000,35.1306,1594.3575,0,0,0.56,174.95,141.73,39.44,108.39,11820,255815.84,21.64,15.14,
Itapetininga,SP,1989,-23.644648,-48.122936,668.28,0.1222,0.0389,18.8662,0.00000,0.0000,36.2056,1426.4696,0,0,0.56,174.95,141.73,39.44,108.39,800,16000.00,20.00,13.99,
Matao,SP,1989,-21.609602,-48.430162,582.56,0.1588,0.0436,24.1048,0.00000,0.0000,29.4754,1340.6617,0,0,0.56,174.95,141.73,39.44,108.39,13255,135080.00,10.19,7.13,
Santa Cruz Do Rio Pardo,SP,1989,-22.808644,-49.568133,542.29,0.1551,0.0576,20.8404,0.00000,0.0000,35.9800,1442.3783,0,0,0.56,174.95,141.73,39.44,108.39,24,480.00,20.00,13.99,
Votuporanga,SP,1989,-20.457345,-49.988931,466.76,0.1715,0.0304,31.8354,0.00000,0.0000,22.3793,1652.9548,0,0,0.56,174.95,141.73,39.44,108.39,1020,16000.00,15.69,10.97,
Frutal,MG,1990,-20.035218,-48.999708,513.89,0.1023,0.0184,26.0895,0.00000,0.0000,28.6589,1239.3168,0,0,0.64,156.50,129.29,38.93,123.48,6469,25811.36,3.99,2.47,
Avare,SP,1990,-23.073834,-48.894245,703.21,0.1844,0.0476,22.3261,0.00000,0.0000,43.3155,1315.0233,0,0,0.64,156.50,129.29,38.93,123.48,50,480.00,9.60,5.94,
Bebedouro,SP,1990,-20.939926,-48.510172,573.15,0.1599,0.0416,25.0253,0.00000,0.0000,29.2673,1311.8058,0,0,0.64,156.50,129.29,38.93,123.48,42440,611095.68,14.40,8.91,
Casa Branca,SP,1990,-21.799796,-47.087518,655.48,0.1381,0.0326,22.5359,0.00000,0.0000,35.1306,1407.7684,0,0,0.64,156.50,129.29,38.93,123.48,8992,215816.00,24.00,14.86,
Itapetininga,SP,1990,-23.644648,-48.122936,668.28,0.1471,0.0236,21.5386,0.00000,0.0000,36.2056,1382.8118,0,0,0.64,156.50,129.29,38.93,123.48,1200,19200.00,16.00,9.91,
Matao,SP,1990,-21.609602,-48.430162,582.56,0.1786,0.0672,21.1165,0.00000,0.0000,29.4754,1271.9471,0,0,0.64,156.50,129.29,38.93,123.48,9592,135060.00,14.08,8.72,
Santa Cruz Do Rio Pardo,SP,1990,-22.808644,-49.568133,542.29,0.2203,0.0820,23.0104,0.00000,0.0000,35.9800,1392.8460,0,0,0.64,156.50,129.29,38.93,123.48,40,640.00,16.00,9.91,
Votuporanga,SP,1990,-20.457345,-49.988931,466.76,0.1182,0.0614,22.5439,0.00000,0.0000,22.3793,1288.6321,0,0,0.64,156.50,129.29,38.93,123.48,1025,20500.00,20.00,12.38,
Frutal,MG,1991,-20.035218,-48.999708,513.89,0.0911,0.0181,28.2422,0.00000,0.0000,28.6589,1741.1267,0,0,0.64,164.40,139.88,37.85,114.47,6450,25800.00,4.00,2.59,
Avare,SP,1991,-23.073834,-48.894245,703.21,0.1469,0.0649,17.5270,0.00000,0.0000,43.3155,1473.2313,0,0,0.64,164.40,139.88,37.85,114.47,50,480.00,9.60,6.20,
Bebedouro,SP,1991,-20.939926,-48.510172,573.15,0.1353,0.0297,26.0244,0.00000,0.0000,29.2673,1513.3027,0,0,0.64,164.40,139.88,37.85,114.47,41000,520000.00,12.68,8.20,
Casa Branca,SP,1991,-21.799796,-47.087518,655.48,0.1112,0.0543,18.5699,0.00000,0.0000,35.1306,1581.3063,0,0,0.64,164.40,139.88,37.85,114.47,10172,240000.00,23.59,15.25,
Itapetininga,SP,1991,-23.644648,-48.122936,668.28,0.1046,0.0588,17.9526,0.00000,0.0000,36.2056,1560.0985,0,0,0.64,164.40,139.88,37.85,114.47,1200,19200.00,16.00,10.34,
Matao,SP,1991,-21.609602,-48.430162,582.56,0.1510,0.0799,24.0396,0.00000,0.0000,29.4754,1281.4289,0,0,0.64,164.40,139.88,37.85,114.47,11205,134460.00,12.00,7.76,
Santa Cruz Do Rio Pardo,SP,1991,-22.808644,-49.568133,542.29,0.1499,0.0980,12.5876,0.00000,0.0000,35.9800,1499.6360,0,0,0.64,164.40,139.88,37.85,114.47,40,640.00,16.00,10.34,
Votuporanga,SP,1991,-20.457345,-49.988931,466.76,0.1701,0.0433,28.6705,0.00000,0.0000,22.3793,1285.8582,0,0,0.64,164.40,139.88,37.85,114.47,1025,20500.00,20.00,12.93,
Frutal,MG,1992,-20.035218,-48.999708,513.89,0.1334,0.0577,25.3847,0.00000,0.0000,28.6589,1530.6563,0,0,0.59,128.25,168.96,38.46,129.93,6460,22739.20,3.52,1.51,
Avare,SP,1992,-23.073834,-48.894245,703.21,0.1526,0.0902,16.4791,0.00000,0.0000,43.3155,1397.1851,0,0,0.59,128.25,168.96,38.46,129.93,50,600.00,12.00,5.15,
Bebedouro,SP,1992,-20.939926,-48.510172,573.15,0.1326,0.0595,23.7523,0.00000,0.0000,29.2673,1575.4902,0,0,0.59,128.25,168.96,38.46,129.93,41000,611795.36,14.92,6.40,
Casa Branca,SP,1992,-21.799796,-47.087518,655.48,0.1501,0.0598,24.6999,0.00000,0.0000,35.1306,1466.6383,0,0,0.59,128.25,168.96,38.46,129.93,10569,253655.68,24.00,10.30,
Itapetininga,SP,1992,-23.644648,-48.122936,668.28,0.1336,0.1034,18.5023,0.00000,0.0000,36.2056,1288.4768,0,0,0.59,128.25,168.96,38.46,129.93,1200,19200.00,16.00,6.87,
Matao,SP,1992,-21.609602,-48.430162,582.56,0.1461,0.1081,12.2783,0.00000,0.0000,29.4754,1302.6121,0,0,0.59,128.25,168.96,38.46,129.93,10640,136192.00,12.80,5.49,
Santa Cruz Do Rio Pardo,SP,1992,-22.808644,-49.568133,542.29,0.1230,0.1035,16.1012,0.00000,0.0000,35.9800,1376.6732,0,0,0.59,128.25,168.96,38.46,129.93,40,640.00,16.00,6.87,
Votuporanga,SP,1992,-20.457345,-49.988931,466.76,0.1467,0.1386,20.6767,0.00000,0.0000,22.3793,1321.1868,0,0,0.59,128.25,168.96,38.46,129.93,1050,21000.00,20.00,8.58,
Frutal,MG,1993,-20.035218,-48.999708,513.89,0.0792,0.0622,29.6095,0.00000,0.0000,28.6589,1529.6415,0,0,0.50,120.41,140.94,37.75,133.93,6460,52361.92,8.11,3.55,
Avare,SP,1993,-23.073834,-48.894245,703.21,0.1846,0.0606,23.8215,0.00000,0.0000,43.3155,1554.0597,0,0,0.50,120.41,140.94,37.75,133.93,38,600.00,15.79,6.92,
Bebedouro,SP,1993,-20.939926,-48.510172,573.15,0.1652,0.0631,26.2093,0.00000,0.0000,29.2673,1343.7678,0,0,0.50,120.41,140.94,37.75,133.93,30769,544000.00,17.68,7.74,
Casa Branca,SP,1993,-21.799796,-47.087518,655.48,0.1583,0.0284,27.0667,0.00000,0.0000,35.1306,1389.7601,0,0,0.50,120.41,140.94,37.75,133.93,8108,168000.00,20.72,9.08,
Itapetininga,SP,1993,-23.644648,-48.122936,668.28,0.1316,0.0432,18.8654,0.00000,0.0000,36.2056,1334.8657,0,0,0.50,120.41,140.94,37.75,133.93,4,48000.00,12000.00,5256.61,
Matao,SP,1993,-21.609602,-48.430162,582.56,0.1833,0.0604,27.0018,0.00000,0.0000,29.4754,1445.6787,0,0,0.50,120.41,140.94,37.75,133.93,8185,153216.00,18.72,8.20,
Santa Cruz Do Rio Pardo,SP,1993,-22.808644,-49.568133,542.29,0.1850,0.0546,27.9705,0.00000,0.0000,35.9800,1590.1937,0,0,0.50,120.41,140.94,37.75,133.93,58,1200.00,20.69,9.06,
Votuporanga,SP,1993,-20.457345,-49.988931,466.76,0.1755,0.0498,27.6069,0.00000,0.0000,22.3793,1245.9806,0,0,0.50,120.41,140.94,37.75,133.93,1269,33000.00,26.00,11.39,
Frutal,MG,1994,-20.035218,-48.999708,513.89,0.0685,0.0163,21.9966,0.00000,0.0000,28.6589,1344.8854,1,0,0.49,102.26,99.10,36.49,130.37,7250,49056.00,6.77,3.02,
Avare,SP,1994,-23.073834,-48.894245,703.21,0.1468,0.0726,18.7500,0.00000,0.0000,43.3155,1369.0979,1,0,0.49,102.26,99.10,36.49,130.37,77,1200.00,15.58,6.94,
Bebedouro,SP,1994,-20.939926,-48.510172,573.15,0.1256,0.0413,20.6057,0.00000,0.0000,29.2673,1198.8123,1,0,0.49,102.26,99.10,36.49,130.37,30000,480000.00,16.00,7.13,
Casa Branca,SP,1994,-21.799796,-47.087518,655.48,0.1546,0.0463,23.7387,0.00000,0.0000,35.1306,1215.1398,1,0,0.49,102.26,99.10,36.49,130.37,10000,168000.00,16.80,7.49,
Itapetininga,SP,1994,-23.644648,-48.122936,668.28,0.1222,0.0382,20.3477,0.00000,0.0000,36.2056,1094.6670,1,0,0.49,102.26,99.10,36.49,130.37,10000,80000.00,8.00,3.57,
Matao,SP,1994,-21.609602,-48.430162,582.56,0.1568,0.0419,24.7838,0.00000,0.0000,29.4754,1245.4024,1,0,0.49,102.26,99.10,36.49,130.37,8185,128000.00,15.64,6.97,
Santa Cruz Do Rio Pardo,SP,1994,-22.808644,-49.568133,542.29,0.1304,0.0965,16.5670,0.00000,0.0000,35.9800,1381.8711,1,0,0.49,102.26,99.10,36.49,130.37,58,1080.00,18.62,8.30,
Votuporanga,SP,1994,-20.457345,-49.988931,466.76,0.1260,-0.0007,27.4619,0.00000,0.0000,22.3793,1290.1820,1,0,0.49,102.26,99.10,36.49,130.37,1462,24000.00,16.42,7.32,
Frutal,MG,1995,-20.035218,-48.999708,513.89,0.0792,0.0086,27.0825,0.00000,0.0000,28.6589,1356.7263,0,0,0.58,100.44,112.13,38.02,134.36,7438,64954.56,8.73,3.56,
Avare,SP,1995,-23.073834,-48.894245,703.21,0.1681,0.0657,20.9673,0.00000,0.0000,43.3155,1377.8715,0,0,0.58,100.44,112.13,38.02,134.36,77,1200.00,15.58,6.35,
Bebedouro,SP,1995,-20.939926,-48.510172,573.15,0.1648,0.0577,22.2812,0.00000,0.0000,29.2673,1473.7813,0,0,0.58,100.44,112.13,38.02,134.36,26846,560000.00,20.86,8.50,
Casa Branca,SP,1995,-21.799796,-47.087518,655.48,0.1398,0.0024,26.0491,0.00000,0.0000,35.1306,1537.4855,0,0,0.58,100.44,112.13,38.02,134.36,8000,176000.00,22.00,8.96,
Itapetininga,SP,1995,-23.644648,-48.122936,668.28,0.1231,0.0449,20.8971,0.00000,0.0000,36.2056,1354.8924,0,0,0.58,100.44,112.13,38.02,134.36,7692,120000.00,15.60,6.36,
Matao,SP,1995,-21.609602,-48.430162,582.56,0.1912,0.0440,25.2113,0.00000,0.0000,29.4754,1537.9346,0,0,0.58,100.44,112.13,38.02,134.36,8000,140000.00,17.50,7.13,
Santa Cruz Do Rio Pardo,SP,1995,-22.808644,-49.568133,542.29,0.1657,0.0610,21.9685,0.00000,0.0000,35.9800,1420.0128,0,0,0.58,100.44,112.13,38.02,134.36,1288,26800.00,20.81,8.48,
Votuporanga,SP,1995,-20.457345,-49.988931,466.76,0.1717,0.0490,21.8654,0.00000,0.0000,22.3793,1443.9593,0,0,0.58,100.44,112.13,38.02,134.36,1462,30400.00,20.79,8.47,
Frutal,MG,1996,-20.035218,-48.999708,513.89,0.0709,-0.0178,27.9299,0.00000,0.0000,28.6589,1414.8707,0,0,0.55,108.03,138.01,35.54,122.39,7438,74261.12,9.98,4.14,
Avare,SP,1996,-23.073834,-48.894245,703.21,0.1655,0.0573,19.6735,0.00000,0.0000,43.3155,1344.2888,0,0,0.55,108.03,138.01,35.54,122.39,1600,32000.00,20.00,8.30,
Bebedouro,SP,1996,-20.939926,-48.510172,573.15,0.1775,0.0840,24.8864,0.00000,0.0000,29.2673,1360.4755,0,0,0.55,108.03,138.01,35.54,122.39,29800,520000.00,17.45,7.24,
Casa Branca,SP,1996,-21.799796,-47.087518,655.48,0.1368,0.0482,21.7928,0.00000,0.0000,35.1306,1701.6908,0,0,0.55,108.03,138.01,35.54,122.39,18400,460000.00,25.00,10.37,
Itapetininga,SP,1996,-23.644648,-48.122936,668.28,0.1335,0.0630,17.4565,0.00000,0.0000,36.2056,1404.7711,0,0,0.55,108.03,138.01,35.54,122.39,11200,134400.00,12.00,4.98,
Matao,SP,1996,-21.609602,-48.430162,582.56,0.1831,0.0945,25.1870,0.00000,0.0000,29.4754,1317.4401,0,0,0.55,108.03,138.01,35.54,122.39,8440,168800.00,20.00,8.30,
Santa Cruz Do Rio Pardo,SP,1996,-22.808644,-49.568133,542.29,0.1314,0.0481,22.0352,0.00000,0.0000,35.9800,1424.2392,0,0,0.55,108.03,138.01,35.54,122.39,1340,26800.00,20.00,8.30,
Votuporanga,SP,1996,-20.457345,-49.988931,466.76,0.2578,0.0939,26.6321,0.00000,0.0000,22.3793,1345.9766,0,0,0.55,108.03,138.01,35.54,122.39,1520,24000.00,15.79,6.55,
Frutal,MG,1997,-20.035218,-48.999708,513.89,0.0674,-0.0171,32.7738,0.00000,0.0000,28.6589,1385.6412,0,0,0.53,116.15,170.45,36.64,124.77,9000,89856.00,9.98,3.93,
Avare,SP,1997,-23.073834,-48.894245,703.21,0.1830,0.0266,25.8851,0.00000,0.0000,43.3155,1502.3798,0,0,0.53,116.15,170.45,36.64,124.77,1538,32000.00,20.81,8.19,
Bebedouro,SP,1997,-20.939926,-48.510172,573.15,0.1704,0.0415,28.1284,0.00000,0.0000,29.2673,1361.9001,0,0,0.53,116.15,170.45,36.64,124.77,23212,411800.00,17.74,6.98,
Casa Branca,SP,1997,-21.799796,-47.087518,655.48,0.1492,0.0157,28.1745,0.00000,0.0000,35.1306,1464.7081,0,0,0.53,116.15,170.45,36.64,124.77,19231,500000.00,26.00,10.23,
Itapetininga,SP,1997,-23.644648,-48.122936,668.28,0.1303,0.0307,20.4756,0.00000,0.0000,36.2056,1464.2263,0,0,0.53,116.15,170.45,36.64,124.77,13846,158400.00,11.44,4.50,
Matao,SP,1997,-21.609602,-48.430162,582.56,0.1898,0.0355,26.4143,0.00000,0.0000,29.4754,1278.3910,0,0,0.53,116.15,170.45,36.64,124.77,11000,280000.00,25.45,10.01,
Santa Cruz Do Rio Pardo,SP,1997,-22.808644,-49.568133,542.29,0.1738,0.0322,27.6335,0.00000,0.0000,35.9800,1503.5505,0,0,0.53,116.15,170.45,36.64,124.77,2500,52000.00,20.80,8.18,
Votuporanga,SP,1997,-20.457345,-49.988931,466.76,0.1811,0.0495,27.0177,0.00000,0.0000,22.3793,1262.7808,0,0,0.53,116.15,170.45,36.64,124.77,1538,48000.00,31.21,12.28,
Frutal,MG,1998,-20.035218,-48.999708,513.89,0.0735,0.0313,30.7192,0.00000,0.0000,28.6589,1475.7185,0,0,0.54,75.42,136.74,37.82,130.93,3686,36800.96,9.98,2.81,
Avare,SP,1998,-23.073834,-48.894245,703.21,0.1270,0.0676,16.6792,0.00000,0.0000,43.3155,1576.7948,0,0,0.54,75.42,136.74,37.82,130.93,1000,20800.00,20.80,5.86,
Bebedouro,SP,1998,-20.939926,-48.510172,573.15,0.1406,0.0804,28.3797,0.00000,0.0000,29.2673,1425.1731,0,0,0.54,75.42,136.74,37.82,130.93,21115,359600.00,17.03,4.80,
